"Season","Song","Artist","Round"
1,"2000 Light Years Away","Green Day","Top of the Order"
1,"23","Jimmy Eat World","For the Long Haul"
1,"99 Red Balloons","Goldfinger","Don't Judge a Song by It's Cover"
1,"A Lot to Say","Sleep in.","Hipster Picks"
1,"A.M. 180","Grandaddy","Turn It Up To 11"
1,"Accident Prone","Jawbreaker","For the Long Haul"
1,"Adrenaline","Simple Creatures","Turn It Up To 11"
1,"Alchemy","Banner Pilot","Top of the Order"
1,"All I Want for Christmas Is You","My Chemical Romance","Don't Judge a Song by It's Cover"
1,"All is Violent, All is Bright","God Is An Astronaut","Who Needs Vocals?"
1,"All Too Well (10 Minute Version) (Taylor's Version)","Taylor Swift","For the Long Haul"
1,"Already Gone","Bayside","Top of the Order"
1,"Animate","Rush","Top of the Order"
1,"Anthem Part Two","blink-182","Top of the Order"
1,"Aqua Tofana","War On Women","Hipster Picks"
1,"Attractive Today","Motion City Soundtrack","Top of the Order"
1,"Auto Rock","Mogwai","Who Needs Vocals?"
1,"Awakening","Unleash the Archers","Top of the Order"
1,"Be There Waiting","The Paper Exit","Hipster Picks"
1,"Black Mountain Side","Led Zepplin","Who Needs Vocals?"
1,"Bleed American","Jimmy Eat World","Top of the Order"
1,"Bleed It Out","Linkin Park","Turn It Up To 11"
1,"Blown Away","DOGSTAR","Hipster Picks"
1,"Borderline","Strangers by Accident","Hipster Picks"
1,"Borne on the FM Waves of the Heart","Against Me!","Turn It Up To 11"
1,"Bubble Dream","Chon","Who Needs Vocals?"
1,"Cirice","Ghost","For the Long Haul"
1,"Comfortably Numb","Pink Floyd","For the Long Haul"
1,"Concerning Hobbits","Howard Shore","Who Needs Vocals?"
1,"Cready Stomp -  bonus track","Pearl Jam","Who Needs Vocals?"
1,"d00msday","Sir Sly","Hipster Picks"
1,"Daedalus","Thrice","For the Long Haul"
1,"Dagger, Dagger: Terror, Terror","Farewell Continental","Hipster Picks"
1,"Dancing with Myself","blink-182","Don't Judge a Song by It's Cover"
1,"Darkside","blink-182","Turn It Up To 11"
1,"Dead Reckoning","Clint Mansell","Who Needs Vocals?"
1,"Dead!","My Chemical Romance","Turn It Up To 11"
1,"Demolition Lovers","My Chemical Romance","For the Long Haul"
1,"Desolation Row","My Chemical Romance","Don't Judge a Song by It's Cover"
1,"Dirty Little Secret","The All-American Rejects","Top of the Order"
1,"Down with the Sickness","Richard Cheese","Don't Judge a Song by It's Cover"
1,"Endless Sleep","Vacant Skies","Hipster Picks"
1,"Energia","Russkaja","Top of the Order"
1,"Eruption","Van Halen","Who Needs Vocals?"
1,"Eve II (Odesza Remix)","Emancipator","Who Needs Vocals?"
1,"Everlong","Foo Fighters","Turn It Up To 11"
1,"Famous Last Words","My Chemical Romance","Turn It Up To 11"
1,"Feeling This","blink-182","Top of the Order"
1,"Feeling This","blink-182","Turn It Up To 11"
1,"Full Blown Meltdown","PUP","Turn It Up To 11"
1,"Funeral for a Friend / Love Lies Bleeding","Elton John","For the Long Haul"
1,"Get a Life","No Motiv","Hipster Picks"
1,"Hammer","Point North","Don't Judge a Song by It's Cover"
1,"Heart's All Gone Interlude","blink-182","Who Needs Vocals?"
1,"Helena","My Chemical Romance","Top of the Order"
1,"Hell Yes","Alkaline Trio","Top of the Order"
1,"Hey Ya!","The Blanks","Don't Judge a Song by It's Cover"
1,"Hocus Pocus","Focus","For the Long Haul"
1,"Homecoming","Green Day","For the Long Haul"
1,"Hop a Plane","City and Colour","Don't Judge a Song by It's Cover"
1,"Horizon","Pigeons Playing Ping Pong","For the Long Haul"
1,"How To Fly","Sticky Fingers","Top of the Order"
1,"Hurt","Johnny Cash","Don't Judge a Song by It's Cover"
1,"Hurt Feelings","Flight of the Conchords","Top of the Order"
1,"I Gotta Girlfriend","The Queers","Hipster Picks"
1,"I MISS 2003","AS IT IS","Turn It Up To 11"
1,"I Really Wish I Hated You","blink-182","Turn It Up To 11"
1,"I Remember","A Day To Remember","For the Long Haul"
1,"I Want You (She's So Heavy)","The Beatles","For the Long Haul"
1,"Instrumental","Box Car Racer","Who Needs Vocals?"
1,"Interlude","+44","Who Needs Vocals?"
1,"Iridium","The Sidh","Who Needs Vocals?"
1,"It's All Coming Back to Me Now","Celine Dion","For the Long Haul"
1,"Jaked on Green Beers","Alkaline Trio","Turn It Up To 11"
1,"Jamie All Over","Mayday Parade","Top of the Order"
1,"Jessie's Girl","Children of Bodom","Don't Judge a Song by It's Cover"
1,"Jesus of Suburbia","Green Day","For the Long Haul"
1,"Jonny Rotten","The Soap Girls","Hipster Picks"
1,"Kascade","Animals As Leaders","Who Needs Vocals?"
1,"Keep My Balance","Lola Tried","Hipster Picks"
1,"Kids in America","Billie Joe Armstrong","Don't Judge a Song by It's Cover"
1,"King of Wishful Thinking","New Found Glory","Don't Judge a Song by It's Cover"
1,"Knights of Cydonia","Muse","For the Long Haul"
1,"Konstantine","Something Corporate","For the Long Haul"
1,"La Chanson De Jacky","Secret Chiefs 3 / Traditionalists","Hipster Picks"
1,"Last Christmas","Jimmy Eat World","Don't Judge a Song by It's Cover"
1,"Let's Go","Travis Barker","Turn It Up To 11"
1,"Life And Death","Michael Giacchino","Who Needs Vocals?"
1,"Light in the Distance","Ogeaz","Hipster Picks"
1,"Lycanthrope","+44","Top of the Order"
1,"MakeDamnSure","Stand Atlantic","Don't Judge a Song by It's Cover"
1,"Miasma","Ghost","Who Needs Vocals?"
1,"Middle Aged Masterpiece","Radical Radical","Hipster Picks"
1,"Miserlou","Agent Orange","Who Needs Vocals?"
1,"Misery Business","Paramore","Turn It Up To 11"
1,"Modern Love","Biffy Clyro","Don't Judge a Song by It's Cover"
1,"Movin' Right Along","Alkaline Trio","Don't Judge a Song by It's Cover"
1,"Mr. Brightside","The Killers","Turn It Up To 11"
1,"N/A","PAWS","Hipster Picks"
1,"Narrator","Squid","For the Long Haul"
1,"Nese Halya Vody","Tyt i Tam","Hipster Picks"
1,"Nightmare","Avenged Sevenfold","Top of the Order"
1,"Norwegian Wood","Victor Wooten","Who Needs Vocals?"
1,"One","Metallica","For the Long Haul"
1,"Only in Dreams","Weezer","For the Long Haul"
1,"Over My Head","A Day To Remember","Don't Judge a Song by It's Cover"
1,"Over the Rainbow","Israel Kamakawiwo'ole","Don't Judge a Song by It's Cover"
1,"PA PA YA!!","Babymetal","Turn It Up To 11"
1,"Paint It Black","Gob","Don't Judge a Song by It's Cover"
1,"Petrichor","Phish","For the Long Haul"
1,"Pivo Pivo","Korpiklanni","Turn It Up To 11"
1,"Pokemon Theme","Pokemon","Turn It Up To 11"
1,"Private Eye","Alkaline Trio","Turn It Up To 11"
1,"Promises","Beach Bunny","Top of the Order"
1,"Promises","WVNDER","Hipster Picks"
1,"Purple Rain","Prince","For the Long Haul"
1,"Redemption","Marcus Miller","Who Needs Vocals?"
1,"Room","Lola Tried","Hipster Picks"
1,"Ruby","Kaiser Chiefs","Top of the Order"
1,"Rum","Storm Seeker","Hipster Picks"
1,"S.O.S.","Matt Skiba","Hipster Picks"
1,"Saviors","The View // The Life","Hipster Picks"
1,"Seven Seas of Rhye","Queen","Who Needs Vocals?"
1,"Silhouette","Thrice","Turn It Up To 11"
1,"Since U Been Gone","Kelly Clarkson","Turn It Up To 11"
1,"Skytalk","Beats Antique","Who Needs Vocals?"
1,"Smells Like Teen Spirit","Nirvana","Top of the Order"
1,"Smooth Criminal","Alien Ant Farm","Don't Judge a Song by It's Cover"
1,"Sonata No. 14 ""Moonlight"" in C-Sharp","Ludwig von Beethoven","Who Needs Vocals?"
1,"Souljacker Part I","Eels","Turn It Up To 11"
1,"Square Hammer","Melodicka Bros","Don't Judge a Song by It's Cover"
1,"Stacy's Mom","Fountains of Wayne","Turn It Up To 11"
1,"Stairway to Heaven","Led Zeppelin","For the Long Haul"
1,"Starving Dog","Screaming Females","Hipster Picks"
1,"Stockholm Syndrome","blink-182","Turn It Up To 11"
1,"Sweetness","Jimmy Eat World","Turn It Up To 11"
1,"The Angel and the One","Weezer","For the Long Haul"
1,"The Boys of Summer","The Ataris","Don't Judge a Song by It's Cover"
1,"The Captain","Biffy Clyro","Top of the Order"
1,"The Pretender","Foo Fighters","Top of the Order"
1,"The Remembrance Ballad","Vitamin String Quartet","Who Needs Vocals?"
1,"Theme","Descendents","Who Needs Vocals?"
1,"Theme From Schindler's List","John Williams","Who Needs Vocals?"
1,"Things That Are Good","The Kooks","Hipster Picks"
1,"This Could Be Love","Alkaline Trio","Top of the Order"
1,"Thriller","Fall Out Boy","Top of the Order"
1,"Time","Pink Floyd","For the Long Haul"
1,"Time After Time","Quietdrive","Don't Judge a Song by It's Cover"
1,"Time to Waste","Alkaline Trio","Top of the Order"
1,"title track","Machine Gun Kelly","Top of the Order"
1,"Torn","Neck Deep","Don't Judge a Song by It's Cover"
1,"USA","Mr. Bungle","Turn It Up To 11"
1,"Valerie","Mark Ronson","Don't Judge a Song by It's Cover"
1,"Victory Celebration","John Williams","Who Needs Vocals?"
1,"Viking Death March","Billy Talent","Turn It Up To 11"
1,"Waking Up","Kero Kero Bonito","Top of the Order"
1,"Walking with the Dead","Blank Display","Hipster Picks"
1,"Watching the Boats with My Dad","Buckethead","Who Needs Vocals?"
1,"Weight of Love","The Black Keys","For the Long Haul"
1,"Welcome Home","Coheed and Cambria","For the Long Haul"
1,"What a Wonderful World","Joey Ramone","Don't Judge a Song by It's Cover"
1,"Whirring","The Joy Formidable","For the Long Haul"
1,"Wish You Were Here","Ninja Sex Party","Don't Judge a Song by It's Cover"
1,"Worn","Sherwood","Hipster Picks"
1,"You & Me","MEUTE","Who Needs Vocals?"
1,"Zombie","Bad Wolves","Don't Judge a Song by It's Cover"
2,"$ave Dat Money (feat. Fetty Wap & Rich Homie Quan)","Lil Dicky","Feat Fetish"
2,"99 Luftballons","Nena","Foreign Delights"
2,"A Hunger In Your Haunt","Biffy Clyro","The Very Best of 2021"
2,"About A Girl","Nirvana","IT'S A-LIVE!!!"
2,"All Eyes On Me","Bo Burnham","The Very Best of 2021"
2,"All I Wanted (feat. Mark Hoppus)","Avril Lavigne","Feat Fetish"
2,"Amico","Billy Joel Armstrong","Foreign Delights"
2,"Anna","The Menzingers","What's In A Name?"
2,"Antidote For Irony","So They Say","So Long, Farewell"
2,"Anyone Else","PVRIS","Killer Queens"
2,"Ashley","Escape the Fate","What's In A Name?"
2,"Ashley (Pt. 2)","We Were Sharks","What's In A Name?"
2,"Attack","Thirty Seconds To Mars","So Long, Farewell"
2,"Barbie Girl","Aqua","What's In A Name?"
2,"Be Sweet","Japanese Breakfast","The Very Best of 2021"
2,"Best Of Me","The Starting Line","IT'S A-LIVE!!!"
2,"Black Hole Sun","Soundgarden","So Long, Farewell"
2,"Blank Space/Stand By Me","Imagine Dragons","IT'S A-LIVE!!!"
2,"Bleed It Out","Linkin Park","IT'S A-LIVE!!!"
2,"Bullet With Butterfly Wings","The Smashing Pumpkins","IT'S A-LIVE!!!"
2,"Ca plane pour moi","Plastic Bertrand","Foreign Delights"
2,"Can't Hold Us (feat. Ray Dalton)","Macklemore & Ryan Lewis","Feat Fetish"
2,"Canción para mañana","Los Bunkers","Foreign Delights"
2,"Carpathia","Taking Back Sunday","IT'S A-LIVE!!!"
2,"Come On Eileen","Dexys Midnight Runners","What's In A Name?"
2,"Cover You (feat. Travis Barker)","The Hunna","Feat Fetish"
2,"Das Krokodil","AnnenMayKantereit","Foreign Delights"
2,"Dear Beer","The Bombpops","Killer Queens"
2,"December (again) (feat. Mark Hoppus)","Neck Deep","Feat Fetish"
2,"Don't Call Me Peanut","Bayside","IT'S A-LIVE!!!"
2,"Dreams","The Cranberries","Killer Queens"
2,"Dreams","Fleetwood Mac","Killer Queens"
2,"Ego","Willy William","Foreign Delights"
2,"Emergency","Paramore","IT'S A-LIVE!!!"
2,"Emma","Alkaline Trio","What's In A Name?"
2,"Euphoria","Angels & Airwaves","The Very Best of 2021"
2,"Everlong","Foo Fighters","IT'S A-LIVE!!!"
2,"Find My Own Way","Arrested Youth","Feat Fetish"
2,"For Fiona","No Use For A Name","So Long, Farewell"
2,"Gangnam Style","PSY","Foreign Delights"
2,"Garden","Meet Me @ The Altar","Killer Queens"
2,"Gives You Hell","The All-American Rejects","The Very Best of 2021"
2,"Gone Away","The Offspring","The Very Best of 2021"
2,"Good Girls Go Bad (feat. Leighton Meester)","Cobra Starship","Feat Fetish"
2,"Grace Kelly","MIKA","What's In A Name?"
2,"Growing Up (feat. Mark Hoppus)","McFly","Feat Fetish"
2,"Hate Me (Sometimes)","Stand Atlantic","Killer Queens"
2,"Hayloft","Mother Mother","IT'S A-LIVE!!!"
2,"Heart Of A Champion (feat. Papa Roach & Ice Nine Kills)","Hollywood Undead","Feat Fetish"
2,"Heilutaan","Tiktak","Foreign Delights"
2,"Helena","My Chemical Romance","What's In A Name?"
2,"Hell","Tegan and Sara","Killer Queens"
2,"Here Come the Rome Plows","Drive Like Jehu","So Long, Farewell"
2,"Hips Don't Lie (feat. Wyclef Jean)","Shakira","Feat Fetish"
2,"Hunter's Moon","Ghost","The Very Best of 2021"
2,"Ievan Polkka","Korpiklanni","Foreign Delights"
2,"If It Means a Lot To You","A Day To Remember","IT'S A-LIVE!!!"
2,"If You Ever Leave, I'm Coming With You","The Wombats","The Very Best of 2021"
2,"It's Oh So Quiet","Björk","Killer Queens"
2,"Jenny Was A Friend Of Mine","The Killers","What's In A Name?"
2,"Josie","blink-182","What's In A Name?"
2,"Just Like Heaven","The Cure","IT'S A-LIVE!!!"
2,"Just Sound","State Champs","The Very Best of 2021"
2,"KARATE","BABYMETAL","Foreign Delights"
2,"Kingslayer (feat. BABYMETAL)","Bring Me The Horizon","Feat Fetish"
2,"La Ciudad","El Shirota","Foreign Delights"
2,"Letterbomb","Green Day","IT'S A-LIVE!!!"
2,"Lillian","+44","What's In A Name?"
2,"Lola","Lilith Czar","What's In A Name?"
2,"Lola + Joseph","July Talk","What's In A Name?"
2,"Lotta True Crime","Penelope Scott","Killer Queens"
2,"Love Dies Young","Foo Fighters","The Very Best of 2021"
2,"Love Will Tear Us Apart","Joy Division","So Long, Farewell"
2,"Lucid Dreams","Juice WRLD","The Very Best of 2021"
2,"Monsters (feat. Demi Lovato and blackbear)","All Time Low","Feat Fetish"
2,"Mr. Sandman","The Chordettes","So Long, Farewell"
2,"Mrs. Robinson","Simon & Garfunkel","So Long, Farewell"
2,"Mulder and Scully","Catatonia","So Long, Farewell"
2,"MYSTERY","Turnstile","The Very Best of 2021"
2,"Nibble Nibble (feat. Tom Delonge and Sherri Dupree-Bemis)","Say Anything","Feat Fetish"
2,"Nightmare","Halsey","Killer Queens"
2,"One For The Rocks And One For The Scary","Mayday Parade","The Very Best of 2021"
2,"Papercut","Linkin Park","So Long, Farewell"
2,"Paranoid","Black Sabbath","So Long, Farewell"
2,"PMA","All Time Low","The Very Best of 2021"
2,"Psycho (feat. Mark Hoppus)","Amy Shark","Feat Fetish"
2,"Re-Entry (feat. Mark Hoppus)","A Day To Remember","Feat Fetish"
2,"Rebel Girl","Bikini Kill","Killer Queens"
2,"Rhiannon","Fleetwood Mac","IT'S A-LIVE!!!"
2,"Rock Show","Halestorm","Killer Queens"
2,"Rock'n Roll Assistance","Psykup","Foreign Delights"
2,"Rockaway Beach","Ramones","So Long, Farewell"
2,"Ruby Soho","Rancid","What's In A Name?"
2,"Sadie","Alkaline Trio","What's In A Name?"
2,"Scotty Doesn't Know","Lustra","What's In A Name?"
2,"Serotonin","girl in red","The Very Best of 2021"
2,"Seventeen Going Under","Sam Fender","The Very Best of 2021"
2,"SHUM","Go_A","Foreign Delights"
2,"Shy Away","Twenty One Pilots","The Very Best of 2021"
2,"Sic Transit Gloria ... Glory Fades","Brand New","So Long, Farewell"
2,"Sk8er Boi","Avril Lavigne","Killer Queens"
2,"Smarter","Eisley","Killer Queens"
2,"Smooth (feat. Rob Thomas)","Santana","Feat Fetish"
2,"Somebody To Love","Queen","IT'S A-LIVE!!!"
2,"Song For Isabelle","Pierce The Veil","What's In A Name?"
2,"Spray Paint It Black","Hawthorne Heights","The Very Best of 2021"
2,"Starman","David Bowie","So Long, Farewell"
2,"Sunday Rain","Foo Fighters","So Long, Farewell"
2,"Tastes Like Kevin Bacon","iwrestledabearonce","Killer Queens"
2,"Tebe Nema","Klooch","Foreign Delights"
2,"The Ballad of Mona Lisa","Panic! At The Disco","What's In A Name?"
2,"The Best Thing (That Never Happened)","We Are The In Crowd","Killer Queens"
2,"The End of the Game","Weezer","The Very Best of 2021"
2,"The Funeral","YUNGBLUD","IT'S A-LIVE!!!"
2,"The Garden","Rush","So Long, Farewell"
2,"There Is a Light That Never Goes Out","The Smiths","So Long, Farewell"
2,"Tidal Waves (feat. Mark Hoppus)","All Time Low","Feat Fetish"
2,"Time Is Running Out","Muse","IT'S A-LIVE!!!"
2,"Tiny Voices","Box Car Racer","What's In A Name?"
2,"Trust Me","Sincere Engineer","Killer Queens"
2,"Übers Ende der Welt","Tokio Hotel","Foreign Delights"
2,"Understatement","New Found Glory","IT'S A-LIVE!!!"
2,"Violenza Domestica","Mr. Bungle","Foreign Delights"
2,"Waiting by Myself (feat. Dave Hause)","Dan Andriano in the Emergency Room","Feat Fetish"
2,"Why Are We So Broken","Steve Aoki","Feat Fetish"
2,"Why'd You Bring A Shotgun To The Party","The Pretty Reckless","Killer Queens"
2,"Wicked Game","Stone Sour","IT'S A-LIVE!!!"
2,"Wonderwall","Oasis","So Long, Farewell"
2,"Y Bluen Eira","The Joy Formidable","Foreign Delights"
2,"Ya Soshla S Uma","t.A.T.u.","Foreign Delights"
2,"Yesterday","The Beatles","So Long, Farewell"
2,"You Oughta Know","Alanis Morissette","Killer Queens"
2,"混ぜるな危険","tricot","Foreign Delights"
3,"155","David Sully","Smiles from the British Isles"
3,"21st Century (Digital Boy)","Bad Religion","Birth Year Songs"
3,"30/90","Andrew Garfield, Joshua Henry, Vanessa Hudgens, Robin de Jesus, Alexandra Shipp, MJ Rodriguez","Media City Soundtrack"
3,"505","Arctic Monkeys","Smiles from the British Isles"
3,"Albuquerque","""Weird Al"" Yankovic","Toponymy"
3,"All Of Me","Frank Sinatra","Oldies But Goldies"
3,"All Signs Point To Lauderdale","A Day To Remember","Toponymy"
3,"Another Sunny Day","Bell and Sebastian","Summertime Vibes"
3,"As Time Goes By","Dooley Wilson","Oldies But Goldies"
3,"Be My Escape (Acoustic)","Relient K","Unplugged"
3,"Boys Don't Cry","The Cure","Smiles from the British Isles"
3,"Boys That Sing","Viola Beach","Smiles from the British Isles"
3,"Boys Will Be Bugs","Cavetown","Summertime Vibes"
3,"Brooklyn Bridge To Chorus","The Strokes","Summertime Vibes"
3,"Bullet With Butterfly Wings","The Smashing Pumpkins","Birth Year Songs"
3,"Castle on the Hill - Acoustic","Ed Sheeran","Unplugged"
3,"Chelsea Dagger","The Fratellis","Summertime Vibes"
3,"Chicago","Sufjan Stevens","Toponymy"
3,"City Of Ocala","A Day To Remember","Toponymy"
3,"Civilization (Bongo, Bongo, Bongo)","Danny Kaye","Oldies But Goldies"
3,"Cleveland, OH","John Floreani","Toponymy"
3,"Cliffs Of Dover","Eric Johnson","Birth Year Songs"
3,"Clubbed to Death - Kurayamino Variation","Rob Dougan","Media City Soundtrack"
3,"Common People","Pulp","Smiles from the British Isles"
3,"Danza Kuduro","Don Omar","Summertime Vibes"
3,"Decode - Acoustic Version","Paramore","Unplugged"
3,"Don't Look Back into the Sun","The Libertines","Smiles from the British Isles"
3,"Don't You (Forget About Me)","Simple Minds","Media City Soundtrack"
3,"Dream A Little Dream Of Me","Ella Fitzgerald","Oldies But Goldies"
3,"Drive - Acoustic","Incubus","Unplugged"
3,"Du hast","Rammstein","Birth Year Songs"
3,"Duel of the Fates","John Williams","Media City Soundtrack"
3,"El Paso","Taking Back Sunday","Toponymy"
3,"Everything Comes Down To Poo - Original Version","Zach Braff, Stephanie D'Abruzzo, Donald Faison","Media City Soundtrack"
3,"Faith","George Michael","Smiles from the British Isles"
3,"For Baltimore","All Time Low","Toponymy"
3,"Forever Yours","Grayscale","Unplugged"
3,"Good Riddance (Time of Your Life)","Green Day","Birth Year Songs"
3,"Grandma Plays the Numbers","Wynonie Harris","Oldies But Goldies"
