"Season","Song","Artist","Round"
7,"Dirty Laundry","All Time Low","What's In Your Closet?"
7,"Dirty Paws","Of Mice and Men","Ah, The Great Outdoors"
7,"DIRTY WHITE VANS//","KennyHoopla","Rainbow Round"
7,"DOA","Foo Fighters","IDK My BFF Jill"
7,"Don't Throw Out My Legos","AJR","Barbenheimer"
7,"Earned It (Fifty Shades of Grey)","The Weeknd","Parantheticals"
7,"Ever Fallen in Love (With Someone You Shouldn't've)","Buzzcocks","Parantheticals"
7,"evermore","Taylor Swift","Ah, The Great Outdoors"
7,"Everybody (Backstreet's Back)","Backstreet Boys","Parantheticals"
7,"Exit Music (For A Film)","Radiohead","Parantheticals"
7,"Fade To Black","Metallica","Rainbow Round"
7,"Feels Like Summer","Childish Gambino","Ah, The Great Outdoors"
7,"Finally Moving","Pretty Lights","Sampler Platter"
7,"Freaks And Geeks","Childish Gambino","Sampler Platter"
7,"fuilu","blackbear","IDK My BFF Jill"
7,"G.I.N.A.S.F.S.","Fall Out Boy","IDK My BFF Jill"
7,"Gangsta's Paradise","Coolio","Sampler Platter"
7,"Girl's Not Grey","AFI","Rainbow Round"
7,"Good Girls (Don't Get Used)","Beach Bunny","Parantheticals"
7,"Good Riddance (Time of Your Life)","Green Day","Parantheticals"
7,"Got Me Started","Troye Sivan","Sampler Platter"
7,"Green Eyes","I Am The Avalanche","Rainbow Round"
7,"Green Light","Lorde","Rainbow Round"
7,"Hammer To Fall","Queen","Barbenheimer"
7,"Have You Ever Seen The Rain","Creedence Clearwater Revival","Ah, The Great Outdoors"
7,"Having a Blast","Green Day","Barbenheimer"
7,"Hoodie Weather","The Wonder Years","What's In Your Closet?"
7,"How To Ruin Everything (Patience)","Bayside","Parantheticals"
7,"i am not your gameboy","Freezepop","Barbenheimer"
7,"I Like You (A Happier Song)","Post Malone","Parantheticals"
7,"I'll Be Missing You","Diddy","Sampler Platter"
7,"I'm Just Ken","Ryan Gosling","Barbenheimer"
7,"I'm Low On Gas And You Need A Jacket","Pierce The Veil","What's In Your Closet?"
7,"Ice Ice Baby","Vanilla Ice","Sampler Platter"
7,"Icicles (Morning Glow)","Tiny Moving Parts","Parantheticals"
7,"IDWT$","Bad Omens","IDK My BFF Jill"
7,"It's Tricky","Run D.M.C.","Sampler Platter"
7,"JNCO","Ca$hrina","What's In Your Closet?"
7,"Jumper","Third Eye Blind","What's In Your Closet?"
7,"Jumpsuit","Twenty One Pilots","What's In Your Closet?"
7,"Kicking Pigeons","[spunge]","Ah, The Great Outdoors"
7,"L.G. FUAD","Motion City Soundtrack","IDK My BFF Jill"
7,"LA Devotee","Panic! At The Disco","IDK My BFF Jill"
7,"Landslide","Fleetwood Mac","Ah, The Great Outdoors"
7,"Last Friday Night (T.G.I.F.)","Katy Perry","IDK My BFF Jill"
7,"LAVENDER","BatAAr","Rainbow Round"
7,"LDN","Lily Allen","IDK My BFF Jill"
7,"Lego House","Ed Sheeran","Barbenheimer"
7,"lights (4444)","nothing,nowhere.","Parantheticals"
7,"Little Black Dress","One Direction","What's In Your Closet?"
7,"Looks Red, Tastes Blue","Mayday Parade","Rainbow Round"
7,"Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off","Panic! At The Disco","What's In Your Closet?"
7,"MFEO - Pt. 1: Made for Each Other, Pt. 2: You Can Breathe","Jack's Mannequin","IDK My BFF Jill"
7,"Misfits T-Shirt","DREAMERS","What's In Your Closet?"
7,"Miss Atomic Bomb","The Killers","Barbenheimer"
7,"Monsters of the North","The National Parks","Ah, The Great Outdoors"
7,"Mr. Blue Sky","Electric Light Orchestra","Rainbow Round"
7,"Na Na Na (Na Na Na Na Na Na Na Na Na)","My Chemical Romance","Parantheticals"
7,"Naked Pictures (Of Your Mother)","Electric Six","Parantheticals"
7,"NASA","Ariana Grande","IDK My BFF Jill"
7,"NBTSA","Joyce Manor","IDK My BFF Jill"
7,"No Shoes in the Coffee Shop (Or Socks)","Hot Mulligan","What's In Your Closet?"
7,"Obstacles","Syd Matters","Ah, The Great Outdoors"
7,"Old Town Road","Lil Nas X","Sampler Platter"
7,"Original Prankster","The Offspring","Sampler Platter"
7,"Over My Head (Cable Car)","The Fray","Parantheticals"
7,"Paint It Black","Siobhan Magnus","Rainbow Round"
7,"Paint It, Black","The Rolling Stones","Rainbow Round"
7,"Paint The Town Red","Doja Cat","Rainbow Round"
7,"Parade Of Punk Rock T-Shirts","Maritime","What's In Your Closet?"
7,"Play Hard","David Guetta","Sampler Platter"
7,"POS","Sueco","IDK My BFF Jill"
7,"Purple Yellow Red and Blue","Portugal","Rainbow Round"
7,"Raspberry Beret","Prince","What's In Your Closet?"
7,"Ready or Not","Fugees","Sampler Platter"
7,"Ripped Pants","Spongebob Squarepants","What's In Your Closet?"
7,"Rocky Mountain High","John Denver","Ah, The Great Outdoors"
7,"Rubber Duckie","Ernie, Sesame Street","Barbenheimer"
7,"S.O.B.","Nathaniel Rateliff & The Night Sweats","IDK My BFF Jill"
7,"Sacrimony (Angle of Afterlife)","Kamelot","Parantheticals"
7,"Safari Song","Greta Van Fleet","Ah, The Great Outdoors"
7,"Shirts and Gloves","Dashboard Confessional","What's In Your Closet?"
7,"Short Skirt / Long Jacket","CAKE","What's In Your Closet?"
7,"Sing For The Moment","Eminem","Sampler Platter"
7,"Sometimes (My Brain Doesn't Work)","Somber Hills","Parantheticals"
7,"SOS","Rihanna","Sampler Platter"
7,"Space-Dye Vest","Dream Theater","What's In Your Closet?"
7,"Spanish Bombs","The Clash","Barbenheimer"
7,"Stan","Eminem","Sampler Platter"
7,"Stay (I Missed You)","New Found Glory","Parantheticals"
7,"STFU","Neck Deep","IDK My BFF Jill"
7,"Stick Season","Noah Kahan","Ah, The Great Outdoors"
7,"Straightjacket Feeling","The All-American Rejects","What's In Your Closet?"
7,"Stronger","Kanye West","Sampler Platter"
7,"Summer Paradise","Simple Plan","Ah, The Great Outdoors"
7,"Surfin' U.S.A.","The Beach Boys","IDK My BFF Jill"
7,"Sweater Weather","The Neighbourhood","What's In Your Closet?"
7,"Sweet Home Alabama","Lynyrd Skynyrd","Ah, The Great Outdoors"
7,"T.L.C. (TURNSTILE LOVE CONNECTION)","Turnstile","IDK My BFF Jill"
7,"Take Me Home, Country Roads","John Denver","Ah, The Great Outdoors"
7,"Take Me Home, Country Roads","Mountain Man","Ah, The Great Outdoors"
7,"The (Shipped) Gold Standard","Fall Out Boy","Parantheticals"
7,"The Bad Touch","Bloodhound Gang","Ah, The Great Outdoors"
7,"The Beautiful People","Christina Aguilera","Sampler Platter"
7,"The Bomb","Florence + The Machine","Barbenheimer"
7,"The Canopy","The Dear Hunter","Ah, The Great Outdoors"
7,"The Cold, the Dark & the Silence","Sea Wolf","Ah, The Great Outdoors"
7,"The Hat","Ingrid Michaelson","What's In Your Closet?"
7,"The Humbling River","Puscifer","Ah, The Great Outdoors"
7,"The Kintsugi Kid (Ten Years)","Fall Out Boy","Parantheticals"
7,"The Last Saskatchewan Pirate","Captain Tractor","Ah, The Great Outdoors"
7,"the mood i'm in / jsyk","The Maine","IDK My BFF Jill"
7,"The Red","Chevelle","Rainbow Round"
7,"Thong Song","Sisqo","What's In Your Closet?"
7,"Time Bomb","Rancid","Barbenheimer"
7,"Time-Bomb","All Time Low","Barbenheimer"
7,"TKO","Motion City Soundtrack","IDK My BFF Jill"
7,"Toxic","Britney Spears","Sampler Platter"
7,"Toys In The Attic","Aerosmith","Barbenheimer"
7,"True Blue","boygenius","Rainbow Round"
7,"Uma Thurman","Fall Out Boy","Sampler Platter"
7,"Undone - The Sweater Song","Weezer","What's In Your Closet?"
7,"W.L.S.T.D.","HIM","IDK My BFF Jill"
7,"We Got the Neutron Bomb","The Weirdos","Barbenheimer"
7,"Welcome to the Black Parade","My Chemical Romance","Rainbow Round"
7,"What a Wonderful World","Imaginary Future","Ah, The Great Outdoors"
7,"Whatcha Say","Jason Derulo","Sampler Platter"
7,"White Flag","Bayside","Rainbow Round"
7,"Wildflowers","Tom Petty","Ah, The Great Outdoors"
7,"Y.M.C.A.","Village People","IDK My BFF Jill"
7,"YDTMHTL","War On Women","IDK My BFF Jill"
7,"Yellow","Coldplay","Rainbow Round"
7,"You've Got a Friend in Me","Randy Newman","Barbenheimer"
7,"Zombie","The Cranberries","Barbenheimer"
7,"Zoot Suit Riot","Cherry Poppin' Daddies","What's In Your Closet?"
8,"23","Jimmy Eat World","Numericals"
8,"57","Biffy Clyro","Numericals"
8,"1979","The Smashing Pumpkins","Numericals"
8,"2022","L.S. Dunes","Numericals"
8,"’39","Queen","Spaced Out"
8,"&lt;/c0de&gt;","Motionless In White","Numericals"
8,"1 step forward, 3 steps back","Olivia Rodrigo","Numericals"
8,"12:51","The Strokes","Numericals"
8,"21 Guns","Green Day","First Love, First High"
8,"25 or 6 to 4","Chicago","Numericals"
8,"25 to Life","Masked Intruder","Numericals"
8,"5 Light Years","Mae","Spaced Out"
8,"9 to 5","Dolly Parton","Numericals"
8,"A Few Tomorrows","Meet Me @ The Altar","Don’t Cry Because It’s Over, Cry Because These Songs Are Sad"
8,"Across The Universe – Naked Version","The Beatles","Spaced Out"
8,"After the Party","The Menzingers","Cupid Tunes"
8,"All Of The Girls You Loved Before","Taylor Swift","Best of 2023"
8,"All That She Wants","Ace of Base","First Love, First High"
8,"Antigravity","STARSET","Spaced Out"
8,"Astronaut","Simple Plan","Spaced Out"
8,"Because of You","Kelly Clarkson","Don’t Cry Because It’s Over, Cry Because These Songs Are Sad"
8,"Black Hole Sun","Soundgarden","Spaced Out"
8,"Blue Monday","Orgy","First Love, First High"
8,"Bowie","Flight of the Conchords","Spaced Out"
8,"Break Me Shake Me","Savage Garden","First Love, First High"
8,"Breakfast","Newsboys","First Love, First High"
8,"Bulletproof Love","Pierce The Veil","First Love, First High"
8,"Can You Hear The Music","Ludwig Goransson","Best of 2023"
8,"Can't Helping Falling in Love","Elvis Presley","Cupid Tunes"
8,"Come Together","The Beatles","First Love, First High"
8,"Cosmic Girl","Jamiroquai","Spaced Out"
8,"Counting 5-4-3-2-1","Thursday","Numericals"
8,"Creep","TLC","First Love, First High"
8,"Crush","LAX 2194","Best of 2023"
8,"Cry","Cigarettes After Sex","Don’t Cry Because It’s Over, Cry Because These Songs Are Sad"
8,"Death with Dignity","Sufjan Stevens","Don’t Cry Because It’s Over, Cry Because These Songs Are Sad"
8,"Dig","Incubus","Cupid Tunes"
8,"Don’t Know Why","Saves The Day","Don’t Cry Because It’s Over, Cry Because These Songs Are Sad"
8,"E.T.","Katy Perry","Spaced Out"
8,"Eleanor Rigby","The Beatles","First Love, First High"
8,"Everlong","Foo Fighters","First Love, First High"
8,"Family of Six","Petey","Numericals"
8,"Floating in the Forth","Frightened Rabbit","Don’t Cry Because It’s Over, Cry Because These Songs Are Sad"
8,"Fly Me To The Moon","Frank Sinatra, Count Basie","Spaced Out"
8,"Forty Six & 2","TOOL","Numericals"
8,"golden hour","JVKE","Cupid Tunes"
8,"Hallelujah","Jeff Buckley","Don’t Cry Because It’s Over, Cry Because These Songs Are Sad"
8,"HONEY (ARE U COMING?)","Maneskin","Best of 2023"
8,"How’s It Going to Be","Third Eye Blind","Don’t Cry Because It’s Over, Cry Because These Songs Are Sad"
8,"I Don’t Want To Be Here Either","John Floreani","Don’t Cry Because It’s Over, Cry Because These Songs Are Sad"
8,"I Got Love","Mother Mother","Cupid Tunes"
8,"I Got My Tooth Removed","100 gecs","Best of 2023"
8,"I Tried to Draw a Straight Line","Petey","Best of 2023"
8,"i wanna be your girlfriend","girl in red","Cupid Tunes"
8,"I Will Always Love You","Whitney Houston","Cupid Tunes"
8,"I Will Follow You into the Dark","Death Cab for Cutie","Cupid Tunes"
8,"I'll Wait","Petey","Best of 2023"
8,"I'm Just Ken","Ryan Gosling","Best of 2023"
8,"In the End","Linkin Park","First Love, First High"
8,"Intergalactic","Beastie Boys","Spaced Out"
8,"It’s Not Over","Secondhand Serenade","Don’t Cry Because It’s Over, Cry Because These Songs Are Sad"
8,"Just Like Heaven","The Cure","Cupid Tunes"
8,"King Of Pain","The Police","First Love, First High"
8,"Kiss Me","Sixpence None The Richer","Cupid Tunes"
8,"Kissing in Cars","Pierce The Veil","Cupid Tunes"
8,"Let Love Be Your Energy","Robbie Williams","First Love, First High"
8,"Lonely Day","System of a Down","Don’t Cry Because It’s Over, Cry Because These Songs Are Sad"
8,"Looks That Kill","Mötley Crüe","First Love, First High"
8,"LosT","Bring Me The Horizon","Best of 2023"
8,"Love Song","Haunt","Cupid Tunes"
8,"Lovefool","The Cardigans","Cupid Tunes"
8,"May 16","Lagwagon","Numericals"
8,"Men In Black","Will Smith","First Love, First High"
8,"More Than Words","Extreme","Cupid Tunes"
8,"Motivation","Sum 41","First Love, First High"
8,"New Scream","Turnover","Don’t Cry Because It’s Over, Cry Because These Songs Are Sad"
8,"No Borders","Russkaja","Best of 2023"
8,"No One's Gonna Love You","Band of Horses","Cupid Tunes"
8,"Numbers (I Can Only Count to Four)","Psychostick","Numericals"
8,"One-Eighty By Summer","Taking Back Sunday","Numericals"
8,"Outlook","The Front Bottoms","Best of 2023"
8,"Rain","Sleep Token","Cupid Tunes"
8,"Rescued","Foo Fighters","Best of 2023"
8,"Rocket Man","William Shatner, Steve Hillage","Spaced Out"
8,"Ronan","Taylor Swift","Don’t Cry Because It’s Over, Cry Because These Songs Are Sad"
8,"Run Away to Mars","TALK","Spaced Out"
8,"Samba Yantra","Chick Corea","First Love, First High"
8,"Satellite","Harry Styles","Spaced Out"
8,"Say You'll Be There","Spice Girls","First Love, First High"
8,"Seeker (Stretch The Night)","Ghost Atlas","Best of 2023"
8,"Seven Nation Army","The White Stripes","Numericals"
8,"Sh-Boom","The Crew Cuts","Cupid Tunes"
8,"Shadowland","Heather Headley, Tsidii Le Loka, Ensemble – The Lion King","Don’t Cry Because It’s Over, Cry Because These Songs Are Sad"
8,"She Loves Me So","Anthony Green","Cupid Tunes"
8,"She's A War","Lektron","Best of 2023"
8,"Shhhh! Golf is On","Hot Mulligan","Best of 2023"
8,"Show Me the Meaning of Being Lonely","Backstreet Boys","Don’t Cry Because It’s Over, Cry Because These Songs Are Sad"
8,"So Much (For) Stardust","Fall Out Boy","Best of 2023"
8,"Sold!","Empire State Bastard","Best of 2023"
8,"Someone Like You","Adele","Don’t Cry Because It’s Over, Cry Because These Songs Are Sad"
8,"Song 2","Blur","Numericals"
8,"Space Jam","Quad City DJ’s","Spaced Out"
8,"Space Oddity","David Bowie","Spaced Out"
8,"Spaceman","The Killers","Spaced Out"
8,"Spectacular Girl","Eels","Cupid Tunes"
8,"Star Wars (Main Theme)","John Williams, London Symphony Orchestra","Spaced Out"
8,"Stay","Ghost, Patrick Wilson","Best of 2023"
8,"Stellar","Incubus","Spaced Out"
8,"Strangers","The Kinks","Cupid Tunes"
8,"Summer ‘79","The Ataris","Numericals"
8,"Summer Of ‘69","Bryan Adams","Numericals"
8,"Supermassive Black Hole","Muse","Spaced Out"
8,"Tears in Heaven","Eric Clapton","Don’t Cry Because It’s Over, Cry Because These Songs Are Sad"
8,"The 1975","The 1975","Numericals"
8,"The Anthem","Good Charlotte","First Love, First High"
8,"The Drugs Don’t Work","The Verve","Don’t Cry Because It’s Over, Cry Because These Songs Are Sad"
8,"The Final Countdown","Europe","Spaced Out"
8,"The Freedom to Fuck Off","Petey","Best of 2023"
8,"The Kids Aren't Alright","The Offspring","First Love, First High"
8,"The Luckiest","Ben Folds","Cupid Tunes"
8,"The One","Taking Back Sunday","Best of 2023"
8,"This","OK Go","Best of 2023"
8,"This Is Why","Paramore","Best of 2023"
8,"Three Little Birds","Bob Marley & The Wailers","Numericals"
8,"Torn","Natalie Imbruglia","Don’t Cry Because It’s Over, Cry Because These Songs Are Sad"
8,"Truce","Twenty One Pilots","Don’t Cry Because It’s Over, Cry Because These Songs Are Sad"
8,"Turn The Page","Metallica","First Love, First High"
8,"Until I Found You","Stephen Sanchez","First Love, First High"
8,"Venus As A Boy","Björk","Spaced Out"
8,"Yellow","Coldplay","Cupid Tunes"
8,"You’re Somebody Else","flora cash","Don’t Cry Because It’s Over, Cry Because These Songs Are Sad"
8,"Your Graduation","Modern Baseball","Don’t Cry Because It’s Over, Cry Because These Songs Are Sad"
9,"Becky's So Hot","FLETCHER","Rainbow Round (Pride Month Version)"
9,"Bodys","Car Seat Headrest","Rainbow Round (Pride Month Version)"
9,"Fast Car","Tracy Chapman","Rainbow Round (Pride Month Version)"
9,"Hang Loose","Alabama Shakes","Rainbow Round (Pride Month Version)"
9,"I Can’t Grow Up","Tegan and Sara","Rainbow Round (Pride Month Version)"
9,"I Got Heaven","Mannequin Pussy","Rainbow Round (Pride Month Version)"
9,"I Was a Teenage Anarchist","Against Me!","Rainbow Round (Pride Month Version)"
9,"It’s Gonna Be Me","*NSYNC","Rainbow Round (Pride Month Version)"
9,"LUNCH","Billie Eilish","Rainbow Round (Pride Month Version)"
9,"Motion Sickness","Phoebe Bridgers","Rainbow Round (Pride Month Version)"
9,"My Teeth Hurt","Ezra Furman","Rainbow Round (Pride Month Version)"
9,"Painkiller","Judas Priest","Rainbow Round (Pride Month Version)"
9,"Panini","Lil Nas X","Rainbow Round (Pride Month Version)"
9,"Red Wine Supernova","Chappell Roan","Rainbow Round (Pride Month Version)"
9,"Rocket Man (I Think It’s Going To Be A Long, Long Time)","Elton John","Rainbow Round (Pride Month Version)"
9,"SENTI-MENTAL","PVRIS","Rainbow Round (Pride Month Version)"
9,"Somebody To Love","Queen","Rainbow Round (Pride Month Version)"
9,"THATS WHAT I WANT","Lil Nas X","Rainbow Round (Pride Month Version)"
9,"Y.M.C.A.","Village People","Rainbow Round (Pride Month Version)"
9,"For a Pessimist, I’m Pretty Optimistic","Paramore","Graphic Design Is My Passion"
9,"She Doesn’t Get It","The Format","Graphic Design Is My Passion"
9,"Uprising","Muse","Graphic Design Is My Passion"
9,"Safe and Sound","Capital Cities","Graphic Design Is My Passion"
9,"Everything Is Alright","Motion City Soundtrack","Graphic Design Is My Passion"
9,"Wish You Were Here","Pink Floyd","Graphic Design Is My Passion"
9,"Crystal Ball","Keane","Graphic Design Is My Passion"
9,"I’ll Catch You","The Get Up Kids","Graphic Design Is My Passion"
9,"T.L.C. (TURNSTILE LOVE CONNECTION)","Turnstile","Graphic Design Is My Passion"
9,"Give ‘Em Hell, Kid","My Chemical Romance","Graphic Design Is My Passion"
9,"Seven","Sunny Day Real Estate","Graphic Design Is My Passion"
9,"Give Me Novacaine / She’s a Rebel","Green Day","Graphic Design Is My Passion"
9,"Parallel Universe","Red Hot Chili Peppers","Graphic Design Is My Passion"
9,"All Downhill From Here","New Found Glory","Graphic Design Is My Passion"
9,"Ruling Me","Weezer","Graphic Design Is My Passion"
9,"Spiderhead","Cage The Elephant","Graphic Design Is My Passion"
9,"Otis","JAY-Z","Graphic Design Is My Passion"
9,"Australia Street","Sticky Fingers","Graphic Design Is My Passion"
9,"Kalopsia","Queens of the Stone Age","Graphic Design Is My Passion"
9,"Come Together","The Beatles","Graphic Design Is My Passion"
9,"This Is America","Childish Gambino","Country Music"
9,"Back In The U.S.S.R.","The Beatles","Country Music"
9,"Houston Dubai (Japanese Bonus Track)","Vampire Weekend","Country Music"
9,"Surf Wax America","Weezer","Country Music"
9,"Africa","TOTO","Country Music"
9,"Greek Tragedy","The Wombats","Country Music"
9,"Deutschland","Rammstein","Country Music"
9,"Singapore","Tom Waits","Country Music"
9,"Big in Japan","Alphaville","Country Music"
9,"England","The National","Country Music"
9,"Anarchy in the U.K.","Sex Pistols","Country Music"
9,"Panama","Van Halen","Country Music"
9,"Australia","The Shins","Country Music"
9,"Princess of China","Coldplay, Rihanna","Country Music"
9,"O Canada","The Royal Canadian Mounted Police & Soloists","Country Music"
9,"Brazil","Declan McKenna","Country Music"
9,"The Vast Spoils of America (From the Badlands Through the Ocean)","Saves The Day","Country Music"
9,"Party In The U.S.A.","Miley Cyrus","Country Music"
9,"Welcome To Japan","The Strokes","Country Music"
9,,,
